"Network","Status","Offer","Chain_ID","DEXs","DEXs_count","Protocols","Launch_Date","TVL","safe_protofire","safe_exists","Message_Draft","Notes"
"MultiVAC","Uncertain - verify","Safe+UniV3","—","VAX, ABcDeFX","2 vol≠tvl","3","6/18/2022","$6,654","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at MultiVAC's DeFi setup, VAX, ABcDeFX are the DEXes there and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"OntologyEVM","Active","Safe+UniV3","58","iZiSwap, UniFi","2","4","5/31/2022","$2,337","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at OntologyEVM's DeFi setup, iZiSwap, UniFi are the DEXes there and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"REIchain","Uncertain - verify","Safe+UniV3","55555","Foodcourt","1 vol≠tvl","1","5/30/2022","$1,564","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at REIchain's DeFi setup, Foodcourt is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Lachain","Active","Safe+UniV3","225","Ladex Exchange","1 vol≠tvl","3","5/25/2022","$16,595","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Lachain's DeFi setup, Ladex Exchange is the only DEX and no Safe multisig yet

thought both could be a great fit, Safe for local protocol and team multisigs, Uniswap V3 as the liquidity layer LatAm DeFi projects expect

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Hydra","Active","Safe+UniV3","—","Hydradex V2, Hydradex V3","2","3","4/21/2022","$19,248","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Hydra's DeFi setup, Hydradex V2, Hydradex V3 are the DEXes there and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"DFK","Active","UniV3","53935","Crystalvale","1 vol≠tvl","2","4/1/2022","$775,017","YES","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at DFK's DEX setup, Crystalvale is running but no Uniswap V3 yet

with your gaming and DeFi focus a canonical Uniswap V3 would give JEWEL and other tokens proper liquidity depth

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for DFK, open to connecting teams on a group chat here?",""
"Syscoin","Active","UniV3","57","PegaSys V2","1","4","2/19/2022","—","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Syscoin's DEX setup, PegaSys V2 is running but no Uniswap V3 yet

with your Bitcoin + EVM hybrid positioning a canonical Uniswap V3 would give the EVM side a trusted liquidity layer

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Syscoin, open to connecting teams on a group chat here?",""
"Curio","Active","Safe+UniV3","8.37E+14","CapitalDEX","1 vol≠tvl","1","2/4/2022","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Curio's DeFi setup, CapitalDEX is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Theta","Active","Safe+UniV3","361","ThetaSwap, VoltSwap","2 vol≠tvl","6","1/11/2022","$368,579","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Theta's DeFi setup, ThetaSwap, VoltSwap are the DEXes there and no Safe multisig yet

thought both could be useful here, Safe for content protocol and team multisigs, Uniswap V3 for token liquidity

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Nahmii","DEAD - Inactive since 2023","Safe+UniV3","5551","NiiFi","1 vol≠tvl","1","12/30/2021","$54,496","NO","NO","N/A - DEAD - Inactive since 2023",""
"CSC","Active","Safe+UniV3","52","OneSwap, IFSwap","2 vol≠tvl","5","12/18/2021","$274,915","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at CSC's DeFi setup, OneSwap, IFSwap are the DEXes there and no Safe multisig yet

thought both could work well, Safe for exchange and protocol multisigs, Uniswap V3 for concentrated liquidity

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Callisto","Active","Safe+UniV3","820","Soy Finance","1","1","12/12/2021","$4,117","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Callisto's DeFi setup, Soy Finance is the only DEX and no Safe multisig yet

thought both could be a good fit, Safe for protocol and team multisigs, Uniswap V3 as the standard AMM layer

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Godwoken","Active","Safe+UniV3","71394","YokaiSwap, StableKoi","2 vol≠tvl","3","12/10/2021","$54,665","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Godwoken's DeFi setup, YokaiSwap, StableKoi are the DEXes there and no Safe multisig yet

thought both could work well here, Safe for protocol and team multisigs, Uniswap V3 for concentrated liquidity

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Ubiq","Uncertain - verify","Safe+UniV3","8","Shinobi","1 vol≠tvl","1","11/30/2021","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Ubiq's DeFi setup, Shinobi is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"ZYX","Uncertain - verify","Safe+UniV3","55","ZYXSwap","1 vol≠tvl","1","11/16/2021","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at ZYX's DeFi setup, ZYXSwap is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Polis","Uncertain - verify","UniV3","333999","Hades Swap","1 vol≠tvl","1","11/14/2021","—","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Polis's DEX setup, Hades Swap is running but no Uniswap V3 yet

a canonical Uniswap V3 would give Polis a proper AMM layer

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Polis, open to connecting teams on a group chat here?",""
"Elastos","Active","Safe+UniV3","20","Elk, Glide Finance","2","3","11/8/2021","$245,162","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Elastos's DeFi setup, Elk, Glide Finance are the DEXes there and no Safe multisig yet

thought both could be a good fit, Safe for DAO and protocol multisigs, Uniswap V3 for real LP depth

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Hoo","Uncertain - verify","Safe+UniV3","70","Elk, PuddingSwap","2 vol≠tvl","4","11/4/2021","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Hoo's DeFi setup, Elk, PuddingSwap are the DEXes there and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Ronin","Active","Canonical UniV3","2020","Katana DEX, Katana DEX V3","2 vol≠tvl","12","11/3/2021","$14,108,113","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

noticed Ronin's Katana DEX V3 is live but not a canonical Uniswap deployment, means your pools won't show up in the official Uniswap interface and aggregators like 1inch tend to deprioritize non-canonical pools when routing gaming liquidity

we've deployed canonical v3 on BOB, Abstract, Mode, thought we could handle the migration for Ronin cleanly, open to connecting teams on a group chat here?",""
"GoChain","Uncertain - verify","Safe+UniV3","60","GoSwap","1 vol≠tvl","1","10/20/2021","$13,165","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at GoChain's DeFi setup, GoSwap is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"EnergyWeb","Active","UniV3","246","CarbonSwap","1","2","10/15/2021","$64,058","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at EnergyWeb's DEX setup, CarbonSwap is running but no Uniswap V3 yet

with your energy sector focus a canonical Uniswap V3 would give EWT and clean energy tokens proper liquidity

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for EnergyWeb, open to connecting teams on a group chat here?",""
"Palm","Active","UniV3","11297108109","SushiSwap, DONASWAP V2","2 vol≠tvl","2","9/14/2021","$529","NO","YES","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Palm's DEX setup, SushiSwap, DONASWAP V2 are running but no Uniswap V3 yet

with your NFT focus a canonical Uniswap V3 would give PALM token pairs proper liquidity routing

we've deployed canonical v3 for BOB, Abstract, Mode, thought we could do the same for Palm, open to connecting teams on a group chat here?",""
"Fusion","Active","Safe+UniV3","32659","Chainge Finance, DONASWAP V2","2 vol≠tvl","3","9/13/2021","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Fusion's DeFi setup, Chainge Finance, DONASWAP V2 are the DEXes there and no Safe multisig yet

thought both could be a good fit, Safe for team and DAO multisigs, Uniswap V3 as a standard AMM layer

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"HPB","Uncertain - verify","Safe+UniV3","269","Hpdex","1 vol≠tvl","1","9/7/2021","—","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at HPB's DeFi setup, Hpdex is the only DEX and no Safe multisig yet

thought both could be a good fit here, Safe for team and protocol multisigs, Uniswap V3 for real LP depth, both are what Tier-1 protocols usually check before building on a new chain

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Karura","Active","Safe+UniV3","—","Karura Swap","1","5","8/11/2021","$69,855","NO","UNCLEAR","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Karura's DeFi setup, Karura Swap is the only DEX and no Safe multisig yet

thought both could work well here, Safe for DAO and protocol multisigs, Uniswap V3 for real EVM-side liquidity depth

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Energi","Active","Safe+UniV3","39797","Energiswap","1","3","3/27/2021","$152,543","NO","NO","hey Name, Vic from Protofire, trusted Safe & Uniswap partner

looked at Energi's DeFi setup, Energiswap is the only DEX and no Safe multisig yet

thought both could be a good fit, Safe for treasury and DAO multisigs, Uniswap V3 as the standard AMM layer

we've done Safe on 140+ networks and Uniswap V3 for BOB, Abstract, Mode, open to connecting teams on a group chat here?",""
"Bitcoin","Active","Safe+UniV3","—","Thorchain DEX","1 vol≠tvl","157","3/20/2021","$5,065,609,593","NO","UNCLEAR","N/A - Active",""
