network_name,case,tg_cold,tg_followup,li_connect,li_first,li_followup
Asset Chain,CASE_4,"hey [Name], Vic from Protofire DAO. been following Asset Chain and had a look at the stack. Asset Chain Swap already gives you a Uniswap-v3 fork, but there's no Safe multisig on Asset Chain. at this stage the highest-leverage move is probably a proper Safe deployment — it's what signals to protocols, DAOs and bridges that a chain is serious, and it unlocks the kind of TVL that makes a DEX worth running. for a chain built around RWAs, a Safe multisig is exactly what institutional asset partners require before custodying value on you. we've deployed Safe for 130+ networks including Gnosis and others — fast to ship, low friction. open to a quick chat?","hey [Name], following up on the Safe idea for Asset Chain — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. For Asset Chain, a proper Safe multisig is probably the highest-leverage next step to signal you're serious. Open to a chat?","Thanks for connecting, [Name]. Had a look at Asset Chain — Asset Chain Swap already gives you a Uniswap-v3 fork, but there's no Safe multisig on Asset Chain. At this stage a proper Safe is the move: it's what protocols, DAOs and bridges look for, and it unlocks the TVL that makes a DEX worth running. for a chain built around RWAs, a Safe multisig is exactly what institutional asset partners require before custodying value on you. We've deployed Safe for 130+ networks — fast, low friction. Open to a quick chat?","Hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage of an ecosystem. Here whenever you want to scope it."
Matchain,CASE_5,"hey [Name], Vic from Protofire DAO. looked at Matchain's DEX setup — you've got MSwap, IncaSwap running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. as identity/AI activity drives token flow, V3 concentrated liquidity is what lets market makers quote your pairs efficiently. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for Matchain — we can layer it on MSwap, IncaSwap without disrupting your current V2 pools. want me to send a quick scope?","Hi [Name] — Vic at Protofire DAO. Matchain has MSwap, IncaSwap on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?","Thanks for connecting, [Name]. Saw Matchain runs MSwap, IncaSwap on V2 — solid, but no V3. as identity/AI activity drives token flow, V3 concentrated liquidity is what lets market makers quote your pairs efficiently. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give Matchain's LPs a V3 option on top of MSwap, IncaSwap, it's a clean add-on for us. Happy to share how it went on other chains."
HeLa,CASE_4,"hey [Name], Vic from Protofire DAO. been following HeLa and had a look at the stack. cytoswap already gives you a Uniswap-v3 fork, but there's no Safe multisig on HeLa. at this stage the highest-leverage move is probably a proper Safe deployment — it's what signals to protocols, DAOs and bridges that a chain is serious, and it unlocks the kind of TVL that makes a DEX worth running. with a fiat-backed stablecoin as gas, a proper Safe is the custody layer institutions and bridges expect before routing value through you. we've deployed Safe for 130+ networks including Gnosis and others — fast to ship, low friction. open to a quick chat?","hey [Name], following up on the Safe idea for HeLa — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. For HeLa, a proper Safe multisig is probably the highest-leverage next step to signal you're serious. Open to a chat?","Thanks for connecting, [Name]. Had a look at HeLa — cytoswap already gives you a Uniswap-v3 fork, but there's no Safe multisig on HeLa. At this stage a proper Safe is the move: it's what protocols, DAOs and bridges look for, and it unlocks the TVL that makes a DEX worth running. with a fiat-backed stablecoin as gas, a proper Safe is the custody layer institutions and bridges expect before routing value through you. We've deployed Safe for 130+ networks — fast, low friction. Open to a quick chat?","Hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage of an ecosystem. Here whenever you want to scope it."
Electroneum,CASE_4,"hey [Name], Vic from Protofire DAO. been following Electroneum and had a look at the stack. ElectroSwap already covers Uniswap V2+V3, but there's no Safe multisig on Electroneum. at this stage the highest-leverage move is probably a proper Safe deployment — it's what signals to protocols, DAOs and bridges that a chain is serious, and it unlocks the kind of TVL that makes a DEX worth running. for a chain focused on financial inclusion, a Safe multisig is what signals to partners and bridges that treasury custody is done properly. we've deployed Safe for 130+ networks including Gnosis and others — fast to ship, low friction. open to a quick chat?","hey [Name], following up on the Safe idea for Electroneum — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. For Electroneum, a proper Safe multisig is probably the highest-leverage next step to signal you're serious. Open to a chat?","Thanks for connecting, [Name]. Had a look at Electroneum — ElectroSwap already covers Uniswap V2+V3, but there's no Safe multisig on Electroneum. At this stage a proper Safe is the move: it's what protocols, DAOs and bridges look for, and it unlocks the TVL that makes a DEX worth running. for a chain focused on financial inclusion, a Safe multisig is what signals to partners and bridges that treasury custody is done properly. We've deployed Safe for 130+ networks — fast, low friction. Open to a quick chat?","Hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage of an ecosystem. Here whenever you want to scope it."
Polynomial,CASE_2,"hey [Name], Vic from Protofire DAO — we build core infra for EVM chains. had a look at Polynomial's stack — you've got Safe covered, but no canonical Uniswap DEX yet. your liquidity today is perps/derivatives — there's no spot AMM, so a canonical Uniswap v2+v3 gives your users and LPs an actual spot-swap venue. without one, your swap volume is leaking to other chains and your LPs don't have a proper interface to manage positions. we deploy Uniswap v2+v3 end-to-end — contracts, routing API, graph node, frontend, and the canonical DAO governance proposal that gets your DEX officially recognized. done this for BOB, MODE, Abstract, Zora and others. whitelabel on your domain or shared UI — 2–4 weeks either way. open to a quick sync?","hey [Name], following up on the Uniswap idea for Polynomial — end-to-end deploy on our side, and it plugs the swap-volume leak. worth a quick call?",Hi [Name] — Vic at Protofire DAO. Polynomial has Safe covered but no canonical Uniswap DEX yet; that's usually where swap volume leaks. Worth a chat?,"Thanks for connecting, [Name]. Had a look at Polynomial — you've got Safe covered, but no canonical Uniswap DEX yet. your liquidity today is perps/derivatives — there's no spot AMM, so a canonical Uniswap v2+v3 gives your users and LPs an actual spot-swap venue. We deploy Uniswap v2+v3 end-to-end — contracts, routing API, graph node, frontend, plus the canonical DAO proposal that gets it officially recognized. Done this for BOB, MODE, Abstract, Zora. Whitelabel or shared UI, ~2–4 weeks. Open to a quick sync?","Hey [Name], no rush — the Uniswap deploy is end-to-end on our side and tends to stop the swap-volume leak to other chains. Here whenever you want to scope it."
Dymension,CASE_4,"hey [Name], Vic from Protofire DAO. been following Dymension and had a look at the stack. your Hub AMM is a Cosmos-style module, not an EVM Uniswap, but there's no Safe multisig on Dymension. at this stage the highest-leverage move is probably a proper Safe deployment — it's what signals to protocols, DAOs and bridges that a chain is serious, and it unlocks the kind of TVL that makes a DEX worth running. the honest first question is which EVM RollApp we'd target — at that layer a Safe and canonical Uniswap make sense, but the Hub itself is Cosmos-SDK. we've deployed Safe for 130+ networks including Gnosis and others — fast to ship, low friction. open to a quick chat?","hey [Name], following up on the Safe idea for Dymension — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. For Dymension, a proper Safe multisig is probably the highest-leverage next step to signal you're serious. Open to a chat?","Thanks for connecting, [Name]. Had a look at Dymension — your Hub AMM is a Cosmos-style module, not an EVM Uniswap, but there's no Safe multisig on Dymension. At this stage a proper Safe is the move: it's what protocols, DAOs and bridges look for, and it unlocks the TVL that makes a DEX worth running. the honest first question is which EVM RollApp we'd target — at that layer a Safe and canonical Uniswap make sense, but the Hub itself is Cosmos-SDK. We've deployed Safe for 130+ networks — fast, low friction. Open to a quick chat?","Hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage of an ecosystem. Here whenever you want to scope it."
Neo X Mainnet,CASE_5,"hey [Name], Vic from Protofire DAO. looked at Neo X Mainnet's DEX setup — you've got Carrot Swap, Asteroneo running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. both your DEXes are V2 today — layering V3 on top is what pulls in the active LPs and market makers a maturing Neo DeFi scene needs. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for Neo X Mainnet — we can layer it on Carrot Swap, Asteroneo without disrupting your current V2 pools. want me to send a quick scope?","Hi [Name] — Vic at Protofire DAO. Neo X Mainnet has Carrot Swap, Asteroneo on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?","Thanks for connecting, [Name]. Saw Neo X Mainnet runs Carrot Swap, Asteroneo on V2 — solid, but no V3. both your DEXes are V2 today — layering V3 on top is what pulls in the active LPs and market makers a maturing Neo DeFi scene needs. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give Neo X Mainnet's LPs a V3 option on top of Carrot Swap, Asteroneo, it's a clean add-on for us. Happy to share how it went on other chains."
LaChain Network,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at LaChain Network and saw MateSwap is your DEX but its underlying stack couldn't be verified. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. for a LatAm-focused chain, a canonical DAO-recognized Uniswap would give regional builders an aggregator-visible, audited liquidity layer. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what MateSwap runs on would help me tell you if there's a clean path to canonical recognition for LaChain Network. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what LaChain Network's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw MateSwap is your DEX but its underlying stack couldn't be verified on LaChain Network. for a LatAm-focused chain, a canonical DAO-recognized Uniswap would give regional builders an aggregator-visible, audited liquidity layer. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to MateSwap's docs or repo I can tell you quickly whether canonical recognition is on the table for LaChain Network. Happy either way."
Saakuru,CASE_5,"hey [Name], Vic from Protofire DAO. looked at Saakuru's DEX setup — you've got Taffy Finance running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. since we already deployed your Safe, layering V3 onto Taffy is a natural next step — concentrated liquidity gives your GameFi pairs tighter pricing. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for Saakuru — we can layer it on Taffy Finance without disrupting your current V2 pools. want me to send a quick scope?",Hi [Name] — Vic at Protofire DAO. Saakuru has Taffy Finance on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?,"Thanks for connecting, [Name]. Saw Saakuru runs Taffy Finance on V2 — solid, but no V3. since we already deployed your Safe, layering V3 onto Taffy is a natural next step — concentrated liquidity gives your GameFi pairs tighter pricing. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give Saakuru's LPs a V3 option on top of Taffy Finance, it's a clean add-on for us. Happy to share how it went on other chains."
Mint,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Mint and saw we deployed your Safe already, and MintSwap runs a canonical Uniswap V3 fork. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. since we already run your Safe and MintSwap is a clean Uniswap v3 fork, the natural next step is canonical DAO recognition so aggregators prioritize your NFTFi liquidity. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what MintSwap Finance runs on would help me tell you if there's a clean path to canonical recognition for Mint. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Mint's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw we deployed your Safe already, and MintSwap runs a canonical Uniswap V3 fork on Mint. since we already run your Safe and MintSwap is a clean Uniswap v3 fork, the natural next step is canonical DAO recognition so aggregators prioritize your NFTFi liquidity. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to MintSwap Finance's docs or repo I can tell you quickly whether canonical recognition is on the table for Mint. Happy either way."
