Network,EVM,Layer,DEXS number,DEXs,Protocols number,Launch date,TVL,Chain ID,Website,safe_protofire,safe_exists,uniswap_fork,uniswap_version,dex_notes,website_found,project_description,why_good_fit,outreach_case,tg_cold,tg_followup,li_connect,li_first,li_followup,research_notes
Titan,EVM,L1,1 vol≠tvl,Hyperion DEX,2,2025-07-02,—,18888,site,NO,NO,UNCLEAR,—,Hyperion DEX: UNCLEAR — Could not verify a Hyperion DEX on an ETH-based Titan L1; name collides with unrelated Aptos/Cosmos projects.,UNCLEAR,UNCLEAR — 'Titan' collides with several unrelated projects; likely a DEX Studios SAGA chainlet (DChain family) but unconfirmed.,Network identity and DEX both unverified — cannot responsibly pitch. Flag for manual identification before outreach.,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Titan and saw I want to make sure I've got the right Titan and understand what Hyperion runs on. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. if there's no canonical AMM yet, a Uniswap deployment plus a Safe would be a strong base to build DeFi on. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Hyperion DEX runs on would help me tell you if there's a clean path to canonical recognition for Titan. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Titan's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw I want to make sure I've got the right Titan and understand what Hyperion runs on on Titan. if there's no canonical AMM yet, a Uniswap deployment plus a Safe would be a strong base to build DeFi on. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Hyperion DEX's docs or repo I can tell you quickly whether canonical recognition is on the table for Titan. Happy either way.",IDENTITY UNVERIFIED - 'Titan' + 'Hyperion DEX' could not be confirmed. No website. No TVL. MANUAL REVIEW REQUIRED before any outreach.
Coti,EVM,L1,1,Carbon Defi,6,2025-06-18,"$754,035",—,site,NO,UNCLEAR,NO,—,"Carbon Defi: NO — Carbon DeFi is Bancor tech — an on-chain orderbook/asymmetric-liquidity protocol, explicitly not an AMM and not Uniswap-derived.",https://coti.io,Privacy/confidentiality layer for Web3 using Garbled Circuits + MPC for confidential smart contracts; now positioned as a privacy-centric Ethereum L2 (COTI V2).,"~$754K TVL, notable privacy-tech project, no Uniswap (Carbon is Bancor), and Safe unverified (no chain_id). Safe-first then a canonical Uniswap to complement the orderbook-style Carbon liquidity.",CASE_3,"hey [Name], Vic from Protofire DAO. looked at Coti's stack before messaging. two things stand out: your DEX (Carbon) is Bancor's orderbook-style design rather than a Uniswap AMM, and I couldn't confirm a Safe on the chain. with the TVL you've built on Coti, Safe is honestly the first thing — it's what blue-chip protocols and DAOs require before they deploy on a chain. once that's in, a canonical Uniswap v3 is the natural next step to activate that liquidity. a canonical Uniswap v3 would sit nicely alongside Carbon's limit-order model — AMM depth for passive LPs, Carbon for range orders — and a Safe covers treasury custody for a privacy-focused chain. we've deployed Safe for 130+ networks and Uniswap v2+v3 for BOB, Mode, Abstract, Zora. want to connect our teams?","hey [Name], circling back — given the TVL you've built on Coti, the Safe piece is quick to ship and unblocks the institutional side. worth 15 min?",Hi [Name] — Vic at Protofire DAO. Noticed Coti has real TVL but no Safe multisig yet; that's usually the first blocker for bigger protocols. Worth a chat?,"Thanks for connecting, [Name]. Looked at Coti — your DEX (Carbon) is Bancor's orderbook-style design rather than a Uniswap AMM, and I couldn't confirm a Safe on the chain. With the TVL you've built on Coti, Safe is the first thing blue-chip protocols/DAOs check for. a canonical Uniswap v3 would sit nicely alongside Carbon's limit-order model — AMM depth for passive LPs, Carbon for range orders — and a Safe covers treasury custody for a privacy-focused chain. Then a canonical Uniswap v3 activates that liquidity. We've done Safe for 130+ chains and Uniswap for BOB, Mode, Zora. Open to connecting teams?","Hey [Name], no rush — the Safe deployment is low-friction and tends to unlock the TVL that makes the DEX worth running. Happy to scope it whenever.",No chain_id -> safe_exists UNVERIFIED. DEX = Bancor Carbon (not Uni). Meaningful TVL. CASE_3; verify Safe + EVM chain_id. [no chain_id in source -> safe_exists UNVERIFIED]
Katana,EVM,L2,2 vol≠tvl,"SushiSwap V3, SushiSwap",27,2025-05-22,"$136,165,433",747474,site,NO,YES,YES;YES,V3;V2,SushiSwap V3: YES/V3 — SushiSwap V3 is a Uniswap V3 fork (concentrated liquidity); live on Katana from day one. | SushiSwap: YES/V2 — Sushi's classic AMM is an established Uniswap V2 fork.,https://katana.network,DeFi-optimized Ethereum L2 (Polygon Labs + GSR; OP stack + AggLayer + ZK) focused on concentrating liquidity; Sushi is its designated spot DEX.,"Large ~$136.2M TVL, Safe on-chain, DeFi-first design — but Sushi (an established Uniswap V2+V3 fork) is the designated DEX. Little room for a competing Uniswap; fit is at most canonical-recognition/tooling. Low priority.",CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Katana and saw Sushi (a Uniswap v2+v3 fork) is your designated DEX and Safe is already live. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. if you ever want a second canonical venue or deeper routing/graph tooling beyond Sushi, that's where we could help. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what SushiSwap V3, SushiSwap runs on would help me tell you if there's a clean path to canonical recognition for Katana. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Katana's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Sushi (a Uniswap v2+v3 fork) is your designated DEX and Safe is already live on Katana. if you ever want a second canonical venue or deeper routing/graph tooling beyond Sushi, that's where we could help. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to SushiSwap V3, SushiSwap's docs or repo I can tell you quickly whether canonical recognition is on the table for Katana. Happy either way.",Already has Sushi V2+V3 (Uni forks) + Safe (chain_id 747474). Designated DEX = Sushi. LOW priority. CASE_6.
Xphere,EVM,L1,1 vol≠tvl,Dopin Protocol,1,2025-05-17,$5,20250217,—,NO,NO,UNCLEAR,—,"Dopin Protocol: UNCLEAR — Real multi-chain DEX (swap/stake/token-factory), feature set consistent with a V2-style fork but unverified; couldn't confirm Xphere deployment specifically.",https://www.x-phere.com,"L1 blockchain using a dual-chain architecture (PoW proof chain + PBFT main chain, ~1s finality, ~4,000 TPS).",Tiny (~$5) TVL and unverified DEX. Exploratory at best — early chain that would need both Safe and canonical Uniswap.,CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Xphere and saw Dopin is your DEX but I couldn't confirm what it runs on. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. if there's no canonical AMM yet, a Uniswap deployment + Safe is what makes a high-throughput L1 credible to DeFi builders. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Dopin Protocol runs on would help me tell you if there's a clean path to canonical recognition for Xphere. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Xphere's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Dopin is your DEX but I couldn't confirm what it runs on on Xphere. if there's no canonical AMM yet, a Uniswap deployment + Safe is what makes a high-throughput L1 credible to DeFi builders. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Dopin Protocol's docs or repo I can tell you quickly whether canonical recognition is on the table for Xphere. Happy either way.","Fork unclear, ~$5 TVL, no Safe. Very low priority."
OpenGPU,EVM,L1,1 vol≠tvl,TAKOSWAP,1,2025-05-06,"$55,527",—,—,NO,UNCLEAR,YES,V2,TAKOSWAP: YES/V2 — Documented as a fork of SushiSwap/Uniswap (Sushi classic = UniV2) with yield farming; caveat that the oGPU instance = same codebase is indirect.,https://opengpu.network,"Decentralized GPU-compute network / DePIN for AI, letting users monetize and access GPU power; runs its own oGPU Chain.",TAKOSWAP appears to be a Uniswap-V2/Sushi fork with no V3. Hot AI-DePIN narrative — a V3 upgrade would modernize its swap layer.,CASE_5,"hey [Name], Vic from Protofire DAO. looked at OpenGPU's DEX setup — you've got TAKOSWAP running on V2 which is solid, but no V3 yet. worth considering: V3's concentrated liquidity attracts a different class of LPs — active managers and yield optimizers. V2 is great for passive liquidity, but V3 is what pulls in sophisticated market makers. an AI-compute economy attracts sophisticated capital — V3 concentrated liquidity gives those LPs a reason to provide depth on your token pairs. we've deployed V3 on 12+ chains and can layer it on top of your existing V2 — same familiar UI, same stack, just more powerful. usually 2–4 weeks. open to a quick chat?","hey [Name], circling back on the V3 idea for OpenGPU — we can layer it on TAKOSWAP without disrupting your current V2 pools. want me to send a quick scope?",Hi [Name] — Vic at Protofire DAO. OpenGPU has TAKOSWAP on V2 but no V3 yet; V3 is what pulls in active LPs/market makers. We can layer it on. Worth a chat?,"Thanks for connecting, [Name]. Saw OpenGPU runs TAKOSWAP on V2 — solid, but no V3. an AI-compute economy attracts sophisticated capital — V3 concentrated liquidity gives those LPs a reason to provide depth on your token pairs. V3's concentrated liquidity brings in active managers and yield optimizers that V2 alone won't. We've deployed V3 on 12+ chains and can layer it on your existing V2 (same UI, ~2–4 weeks). Open to a quick chat?","Hey [Name], no rush — whenever you want to give OpenGPU's LPs a V3 option on top of TAKOSWAP, it's a clean add-on for us. Happy to share how it went on other chains.",V2 fork (caveat on codebase identity). No chain_id -> safe UNVERIFIED. AI/DePIN narrative. CASE_5. [no chain_id in source -> safe_exists UNVERIFIED]
Haven1,EVM,L1,1,Haven1 hSwap,2,2025-04-24,"$6,888",8811,site,NO,NO,YES,V3,"Haven1 hSwap: YES/V3 — Docs: hSwap V2 is 'built upon the advanced features of Uniswap V3' (concentrated liquidity). Native, H1-governed.",https://haven1.org,"Permissioned-yet-decentralized EVM L1 built for DeFi and tokenized RWAs, with identity-gating and MEV prevention ('REKT-resistant').",Already runs a Uniswap-V3-based DEX (hSwap) but has NO Safe and low (~$6.9K) TVL. Gap is Safe — an RWA/identity chain positioning as institution-grade must have multisig custody.,CASE_4,"hey [Name], Vic from Protofire DAO. been following Haven1 and had a look at the stack. hSwap already gives you a Uniswap-v3-based DEX, but there's no Safe multisig on Haven1. at this stage the highest-leverage move is probably a proper Safe deployment — it's what signals to protocols, DAOs and bridges that a chain is serious, and it unlocks the kind of TVL that makes a DEX worth running. for a chain selling itself on safety and RWAs, a Safe multisig is the most conspicuous missing piece — it's what institutions check for before custodying assets. we've deployed Safe for 130+ networks including Gnosis and others — fast to ship, low friction. open to a quick chat?","hey [Name], following up on the Safe idea for Haven1 — genuinely low-lift on our end, and it's the piece bridges/protocols look for first. worth a quick call?","Hi [Name] — Vic at Protofire DAO. For Haven1, a proper Safe multisig is probably the highest-leverage next step to signal you're serious. Open to a chat?","Thanks for connecting, [Name]. Had a look at Haven1 — hSwap already gives you a Uniswap-v3-based DEX, but there's no Safe multisig on Haven1. At this stage a proper Safe is the move: it's what protocols, DAOs and bridges look for, and it unlocks the TVL that makes a DEX worth running. for a chain selling itself on safety and RWAs, a Safe multisig is the most conspicuous missing piece — it's what institutions check for before custodying assets. We've deployed Safe for 130+ networks — fast, low friction. Open to a quick chat?","Hey [Name], no pressure — the Safe deploy is quick and low-cost, and it's usually the unlock for the next stage of an ecosystem. Here whenever you want to scope it.",Has UniV3-based hSwap already; gap = Safe (chain_id 8811 not in safe-deployments). CASE_4 Safe pitch.
Moonchain,EVM,L1,1 vol≠tvl,Moonchain Swap,1,2025-04-17,"$1,871",18686,—,NO,NO,UNCLEAR,—,Moonchain Swap: UNCLEAR — Described as part of a native cross-chain bridge/swap; reads more like a bridge facility than a constant-product AMM.,https://www.moonchain.com,DePIN network for IoT (formerly MXC) providing secure IoT data transmission via MXProtocol; technically an Arbitrum-based zkEVM L3.,"IoT-DePIN chain with tiny (~$1.9K) TVL; its 'swap' looks like a bridge, not an AMM. Exploratory — likely needs a real DEX + Safe.",CASE_6,"hey [Name], Vic from Protofire DAO — we deploy core DeFi infra for EVM chains. had a look at Moonchain and saw Moonchain Swap looks more like a cross-chain bridge facility than a native AMM. curious what it's built on under the hood? depending on the stack there might be a straightforward path to canonical Uniswap DAO recognition, which gets you prioritized by aggregators like 1inch and adds the official DAO badge. if there's no real AMM on-chain, a canonical Uniswap deployment would give your IoT/DePIN token actual on-chain liquidity, and a Safe covers treasury custody. we've done this for BOB, Abstract, Nibiru and others. if it's already a Uniswap fork we can potentially work with what you have. worth a quick chat?","hey [Name], following up — even a quick note on what Moonchain Swap runs on would help me tell you if there's a clean path to canonical recognition for Moonchain. no pressure.",Hi [Name] — Vic at Protofire DAO. Curious what Moonchain's DEX runs on under the hood — there may be a clean path to canonical Uniswap DAO recognition. Worth a chat?,"Thanks for connecting, [Name]. Saw Moonchain Swap looks more like a cross-chain bridge facility than a native AMM on Moonchain. if there's no real AMM on-chain, a canonical Uniswap deployment would give your IoT/DePIN token actual on-chain liquidity, and a Safe covers treasury custody. Curious what it's built on — depending on the stack there may be a straightforward path to canonical Uniswap DAO recognition (aggregator prioritization + official badge). We've done this for BOB, Abstract, Nibiru. If it's already a Uniswap fork we can work with what you have. Worth a quick chat?","Hey [Name], no rush — if you can point me to Moonchain Swap's docs or repo I can tell you quickly whether canonical recognition is on the table for Moonchain. Happy either way.","'Swap' likely a bridge, not AMM. No Safe. Minimal TVL. CASE_6/exploratory."
Prom,EVM,L2,2 vol≠tvl,"savmSwap, v60",2,2025-04-04,"$507,084",277,site,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
HashKey Chain,EVM,L2,2 vol≠tvl,"DODO AMM, HyperInDex",8,2025-04-01,"$2,079",177,site,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
MTT Network,EVM,L1,1 vol≠tvl,Yaakoswap,1,2025-03-24,$8,6880,site,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
WINR,EVM,L1,1,Camelot V3,2,2025-03-23,"$743,033",777777,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Hydra Chain,EVM,L1,1,Hydradex V3,1,2025-03-12,"$21,000",4488,site,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Form Network,EVM,L2,1,Fibonacci Dex,5,2025-02-23,"$5,937",478,site,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Story,EVM,L1,3,"PiperX V3, Story Hunt, PiperX V2",13,2025-02-13,"$632,059",1514,site,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Stratis,EVM,L1,1 vol≠tvl,StraxSwap,3,2025-02-07,"$25,725",105105,—,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Silicon zkEVM,EVM,L2,2 vol≠tvl,"Fizzswap V3, Fizzswap V2",3,2025-02-07,"$7,743",2355,site,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Parex,EVM,L1,1 vol≠tvl,RaccoonSwap,1,2025-01-28,"$14,898",322202,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Zero Network,EVM,L2,2,"SakuraSwap CLMM, SakuraSwap AMM",2,2025-01-27,"$148,005",543210,site,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Superposition,EVM,L2,2 vol≠tvl,"Camelot V3, Camelot V2",3,2025-01-25,"$77,127",55244,site,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Artela,EVM,L1,1,ArtexSwap,3,2025-01-24,—,11820,—,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Waterfall,EVM,L1,1 vol≠tvl,Aquadex,1,2025-01-06,—,181,—,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
CrossFi,EVM,L1,1 vol≠tvl,xSwap DEX,5,2025-01-04,"$39,861",4158,—,YES,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Odyssey,EVM,L1,1 vol≠tvl,Diamondswap,3,2024-12-22,"$157,957",153153,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
DuckChain,EVM,L1,3 vol≠tvl,"Camelot V3, Camelot V2, DuckSwap",4,2024-12-19,"$1,935",—,—,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
QL1,EVM,L1,1 vol≠tvl,QOMSWAP,1,2024-12-19,—,—,site,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
VinuChain,EVM,L1,1 vol≠tvl,VinuSwap,2,2024-12-13,"$9,605",207,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Shido,EVM,L1,2 vol≠tvl,"Shido Dex V3, Shido Dex V2",2,2024-11-15,"$905,660",—,—,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Asset Chain,EVM,L1,1,Asset Chain Swap,2,2024-11-06,"$166,132",42420,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Matchain,EVM,L2,2 vol≠tvl,"MSwap, IncaSwap",6,2024-10-05,"$19,427",698,site,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
HeLa,EVM,L1,1,cytoswap,3,2024-10-04,"$117,091",8668,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Electroneum,EVM,L1,2 vol≠tvl,"ElectroSwap V3, ElectroSwap V2",2,2024-09-14,"$139,551",52014,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Polynomial,EVM,L1,1 vol≠tvl,Polynomial Liquidity,2,2024-09-13,"$594,110",8008,site,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Dymension,EVM,L1,1 vol≠tvl,Dymension DEX,4,2024-08-28,"$156,950",—,site,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Neo X Mainnet,EVM,L1,2 vol≠tvl,"Carrot Swap, Asteroneo",2,2024-08-27,"$7,533",47763,site,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
LaChain Network,EVM,L1,1 vol≠tvl,MateSwap,2,2024-08-16,"$44,865",274,—,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Saakuru,EVM,L1,1 vol≠tvl,Taffy Finance,1,2024-07-22,"$84,216",7225878,—,YES,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Mint,EVM,L1,1,MintSwap Finance,4,2024-06-25,—,185,—,YES,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
AILayer,EVM,L1,1 vol≠tvl,AINN Swap,7,2024-06-24,"$89,652",2649,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Rari,EVM,L1,2,"Camelot V3, Camelot V2",4,2024-06-18,"$8,387",1380012617,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Ham,EVM,L1,1 vol≠tvl,BBQSwap,1,2024-06-11,"$2,929",5112,site,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
LUKSO,EVM,L1,2 vol≠tvl,"Phlox, Universal Swaps",7,2024-06-05,"$36,859",42,—,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Genesys,EVM,L1,1 vol≠tvl,BlueLotusDao DEX,2,2024-05-29,—,16507,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
re.al,EVM,L2,2,"Pearl V2, Pearl V1.5",10,2024-05-23,—,111188,site,YES,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
BounceBit,EVM,L1,2 vol≠tvl,"BounceBit Swap V3, BounceBit Swap V2",13,2024-05-16,"$688,730",6001,—,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Endurance,EVM,L1,2 vol≠tvl,"Catalist DEX, Tesseract World",4,2024-05-09,$26,648,—,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Planq,EVM,L1,2 vol≠tvl,"Ciento Exchange, Physica Finance",2,2024-04-19,"$5,259",7070,—,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Ancient8,EVM,L1,2 vol≠tvl,"Baryon Network, Ancient8 Swap",3,2024-04-16,"$38,010",888888888,site,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
HAQQ,EVM,L1,1 vol≠tvl,SushiSwap,5,2024-04-04,$11,11235,—,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
RSS3,EVM,L1,1 vol≠tvl,Openswap VSL,1,2024-03-26,—,—,—,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
DeFiChain EVM,EVM,L1,2,"VanillaSwap V2, VanillaSwap V3",3,2024-03-25,"$97,150",1130,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Bahamut,EVM,L1,2 vol≠tvl,"SilkSwap, Kujata",8,2024-03-22,—,—,site,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Immutable zkEVM,EVM,L1,2,"Quickswap V3, WarpGate",5,2024-03-22,"$11,241,448",13371,site,YES,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Q Protocol,EVM,L1,1 vol≠tvl,Elk,4,2024-03-14,"$9,376",35441,—,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
inEVM,EVM,L1,3 vol≠tvl,"Poolshark, DackieSwap V3, DackieSwap V2",7,2024-03-12,—,2525,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed. chain_id 2525 labeled 'BB1' in Protofire repo; not treated as a Protofire match.
DeFiVerse,EVM,L1,1,Gaming DEX,1,2024-03-08,—,16116,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Bitrock,EVM,L1,1,Rockswap,4,2024-03-01,—,7171,—,NO,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Bitnet,EVM,L1,1 vol≠tvl,Xenwave,1,2024-01-27,—,—,site,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
AirDAO,EVM,L1,2 vol≠tvl,"FirepotSwap, Astra",6,2024-01-16,—,16718,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
JBC,EVM,L1,3 vol≠tvl,"Junoswap.trade, JIBSWAP, CommuDAO GameSwap",4,2023-12-25,"$5,850",—,—,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Horizen EON,EVM,L1,3,"SpookySwap V2, Ascent Exchange V1, Ascent Exchange V3",7,2023-11-08,—,7332,—,YES,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Omax,EVM,L1,1,Omax Swap,2,2023-10-31,"$12,494",—,—,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
ETHF,EVM,L1,1 vol≠tvl,Sdex,1,2023-10-23,—,—,—,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
MEER,EVM,L1,1,CandySwap,1,2023-10-23,—,—,—,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Elysium,EVM,L1,1 vol≠tvl,ElysiumSwap,1,2023-10-23,"$18,415",—,—,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Bifrost Network,EVM,L1,1,Everdex,5,2023-10-18,"$13,258,192",—,—,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Dexalot,EVM,L1,1,Dexalot DEX,1,2023-10-13,"$1,786,555",432204,—,NO,NO,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Beam,EVM,L1,2 vol≠tvl,"Beam Swap, Inferno Swap",2,2023-10-10,"$1,013,418",4337,site,YES,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Kroma,EVM,L2,2 vol≠tvl,"iZiSwap, Prixmswap",8,2023-09-16,—,255,site,YES,YES,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Pego,EVM,L1,1 vol≠tvl,W3swap,2,2023-09-13,"$47,690",—,—,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
Darwinia,EVM,L1,1 vol≠tvl,SnowSwap AMM,1,2023-09-09,"$4,236",—,—,NO,UNCLEAR,,,,,,,,,,,,,Beyond first-30 research scope (STEP 3/5/6 not run). STEP 1/2 computed.
